text,signature,signature_id,category,severity,proto,app_proto,src_ip,src_port,dest_ip,dest_port,hostname,uri,timestamp,source,count,date
ET CURRENT_EVENTS Nuclear EK Landing Apr 08 2015 | A Network Trojan was detected | http | mashinescoolsa.com | /QhJFUFtXSVhIDwNFXQhaBxFVWg5YEQMYVg5Z.html | 2901,ET CURRENT_EVENTS Nuclear EK Landing Apr 08 2015,2020865,A Network Trojan was detected,1,TCP,http,92.222.174.249,80,192.168.0.53,2901,mashinescoolsa.com,/QhJFUFtXSVhIDwNFXQhaBxFVWg5YEQMYVg5Z.html,2015-04-07T07:47:48.239690-0600,first-org-2015,1,2015-04-07
ET CURRENT_EVENTS Nuclear EK Landing Apr 22 2015 | A Network Trojan was detected | http | mashinescoolsa.com | /QhJFUFtXSVhIDwNFXQhaBxFVWg5YEQMYVg5Z.html | 2901,ET CURRENT_EVENTS Nuclear EK Landing Apr 22 2015,2020975,A Network Trojan was detected,1,TCP,http,92.222.174.249,80,192.168.0.53,2901,mashinescoolsa.com,/QhJFUFtXSVhIDwNFXQhaBxFVWg5YEQMYVg5Z.html,2015-04-07T07:47:48.239690-0600,first-org-2015,1,2015-04-07
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.243 | /?23cfNa06dd07bc383bNe016dcb | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,2047,217.172.189.243,80,217.172.189.243,/?23cf7472a06dd07bc383b3476e016dcb,2015-04-07T21:27:03.585407-0600,first-org-2015,2,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.243 | /?67c6a4e75a62d024ffNfea9fae9d0 | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,2043,217.172.189.243,80,217.172.189.243,/?67c6a4e75a62d024ff0984fea9fae9d0,2015-04-07T21:27:03.028467-0600,first-org-2015,2,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.243 | /?71d0db83d643f7fNd835c8d745edd | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,2048,217.172.189.243,80,217.172.189.243,/?71d0db83d643f7f8661d835c8d745edd,2015-04-07T21:27:03.706152-0600,first-org-2015,2,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.243 | /?7d0eabf9d51e708d121fa10a4cNc | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,2042,217.172.189.243,80,217.172.189.243,/?7d0eabf9d51e708d121fa10a4c07673c,2015-04-07T21:27:02.538096-0600,first-org-2015,2,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.243 | /?9c9d1d1f08aeNe20bbN | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,2044,217.172.189.243,80,217.172.189.243,/?9c9d1d1f08ae010355912e20bb441934,2015-04-07T21:27:03.182752-0600,first-org-2015,2,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.243 | /?H | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,2045,217.172.189.243,80,217.172.189.243,/?52aac4fc946df3f66d2f3b1abd445ac0,2015-04-07T21:27:03.305932-0600,first-org-2015,2,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.243 | /?f4dfda8b1fe89bfda5e95eccN | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,2046,217.172.189.243,80,217.172.189.243,/?f4dfda8b1fe89bfda5e95ecc25514136,2015-04-07T21:27:03.457513-0600,first-org-2015,2,2015-04-08
ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013 | A Network Trojan was detected | http | 217.172.189.244 | /?429ee751abecf37cc0f092cNe93 | 80,ET CURRENT_EVENTS Possible Magnitude IE EK Payload Nov 8 2013,2017694,A Network Trojan was detected,1,TCP,http,192.168.0.53,4242,217.172.189.244,80,217.172.189.244,/?429ee751abecf37cc0f092c521256e93,2015-04-08T16:54:02.710436-0600,first-org-2015,1,2015-04-08
